prevword,nextword,prevtag,nexttag,word,class
нижний,у,ADJF,PREP,0,1
мясистый,и,ADJF,CONJ,0,1
растопыривать,словно,VERB,CONJ,0,1
на,как,PREP,CONJ,0,1
взмах,набирать,NOUN,VERB,0,1
хлопать,и,VERB,CONJ,0,1
трепет,и,NOUN,CONJ,0,1
ли,ли,PRCL,PRCL,0,1
передний,или,ADJF,CONJ,0,4
задний,.,ADJF,PNCT,0,6
свой,итспециалист,ADJF,NOUN,0,9
под,america,PREP,LATN,1,2
мочь,твой,VERB,ADJF,0,1
2,начать,NUMB,VERB,0,10
под,хостинский,PREP,ADJF,1,9
белый,не,ADJF,PRCL,0,1
под,прочесть,PREP,VERB,1,9
леворадикальный,до,ADJF,PREP,0,8
самарский,советов,ADJF,UNKN,0,10
с,и,PREP,CONJ,0,1
.,дедушка,PNCT,NOUN,0,2
два,дворец,NUMR,NOUN,0,6
вороной,вдеть,ADJF,VERB,0,1
петух,.,NOUN,PNCT,0,1
многочисленный,.,ADJF,PNCT,0,1
наклонить,лететь,GRND,VERB,0,1
шуршать,залететь,VERB,PRTF,0,1
распластать,присесть,VERB,VERB,0,1
род,ну,NOUN,PRCL,0,1
мелькнуть,птица,VERB,NOUN,0,1
взмахнуть,и,VERB,CONJ,0,1
шелест,пролететь,NOUN,VERB,0,1
по,нашить,PREP,PRTF,0,11
белых,.,NOUN,PNCT,0,1
резиновый,развеваться,ADJF,PRTF,0,10
хлопанье,и,NOUN,CONJ,0,1
право,гоминдан,NOUN,NOUN,0,8
свистеть,носиться,GRND,VERB,0,1
взмахнуть,так,VERB,CONJ,0,1
широкий,и,ADJF,CONJ,0,1
как,ласточка,CONJ,NOUN,0,1
холодное,наталья,NOUN,NOUN,0,1
шелестеть,вести,VERB,GRND,0,1
длинный,.,ADJF,PNCT,0,1
чёрный,ужас,NOUN,NOUN,0,10
красный,.,ADJF,PNCT,0,1
чёрный,и,ADJF,CONJ,0,1
и,не,CONJ,PRCL,0,1
синий,дождев,ADJF,NOUN,0,1
на,подняться,PREP,VERB,0,1
под,добровольческий,PREP,ADJF,1,9
потрогать,потрясти,VERB,VERB,0,4
три,.,NUMR,PNCT,0,1
огромный,и,ADJF,CONJ,0,1
взмахнуть,и,VERB,CONJ,0,1
она,рвать,NPRO,VERB,0,1
под,и,PREP,CONJ,1,1
кургузый,.,ADJF,PNCT,0,1
в,пролётка,PREP,NOUN,0,10
он,.,NPRO,PNCT,0,1
оборвать,сесть,VERB,VERB,0,1
за,.,PREP,PNCT,0,1
кровавый,и,ADJF,CONJ,0,1
растрепать,както,PRTF,ADVB,0,1
холодное,а,NOUN,CONJ,0,1
бабочкин,раздирать,NOUN,VERB,0,1
оба,и,NUMR,CONJ,0,7
на,вихрь,PREP,NOUN,0,10
а,взять,CONJ,VERB,0,1
ежели,не,CONJ,PRCL,0,1
на,ветер,PREP,NOUN,0,10
точно,сложить,ADVB,VERB,0,1
хлопать,прыгать,VERB,VERB,0,1
на,свой,PREP,ADJF,0,1
длинный,навстречу,ADJF,ADVB,0,1
противоположный,стать,ADJF,VERB,0,6
он,верный,NPRO,COMP,0,9
один,занимать,ADJF,VERB,0,6
гранкин,.,NOUN,PNCT,0,1
левый,.,ADJF,PNCT,0,4
как,ангела…,CONJ,UNKN,0,1
сложить,.,VERB,PNCT,0,1
кожистый,.,ADJF,PNCT,0,1
птица,.,NOUN,PNCT,0,1
передний,и,ADJF,CONJ,0,4
ручка,животное,NOUN,NOUN,0,1
тёмный,.,ADJF,PNCT,0,10
опасть,.,PRTF,PNCT,0,1
на,.,PREP,PNCT,0,1
ни,ты,PRCL,NPRO,0,10
ангельский,для,ADJF,PREP,0,1
бритва,и,NOUN,CONJ,0,1
ласточкин,чёлка,ADJF,NOUN,0,10
зацепить,какойтый,VERB,ADJS,0,1
сидеть,архипов,VERB,NOUN,0,10
на,принести,PREP,VERB,0,1
перепончатый,покрыть,ADJF,PRTF,0,1
спрятать,под,PRTF,PREP,1,10
право,.,NOUN,PNCT,0,6
кончик,закон,NOUN,NOUN,0,1
распахнуть,белый,PRTF,ADJF,0,10
огненный,торум,ADJF,NOUN,0,1
к,редакционный,PREP,ADJF,0,4
взмахивать,и,VERB,CONJ,0,1
