prevword,nextword,prevtag,nexttag,class
от,и,PREP,CONJ,1
выдернуть,.,PRTF,PNCT,1
обледенение,над,NOUN,PREP,2
тяжёлый,соединить,ADJF,PRTF,1
под,?,PREP,PNCT,1
как,.,CONJ,PNCT,1
распускать,загораживать,VERB,GRND,1
или,бровь,CONJ,NOUN,1
сизый,распахнуться,ADJF,VERB,1
забить,и,VERB,CONJ,1
рука,и,NOUN,CONJ,1
острый,лопатка,ADJF,NOUN,10
тёмный,.,ADJF,PNCT,1
подержать,который,PRTF,ADJF,1
на,неужто,PREP,INTJ,1
под,великий,PREP,ADJF,9
под,рыхлый,PREP,ADJF,1
правый,шесть,NOUN,NUMR,8
расправить,он,INFN,NPRO,1
неподвижный,он,ADJF,NPRO,1
расправить,.,GRND,PNCT,1
нижний,у,ADJF,PREP,1
мясистый,и,ADJF,CONJ,1
растопыривать,словно,VERB,CONJ,1
на,как,PREP,CONJ,1
взмах,набирать,NOUN,VERB,1
хлопать,и,VERB,CONJ,1
трепет,и,NOUN,CONJ,1
ли,ли,PRCL,PRCL,1
передний,или,ADJF,CONJ,4
задний,.,ADJF,PNCT,6
свой,итспециалист,ADJF,NOUN,9
под,america,PREP,LATN,2
мочь,твой,VERB,ADJF,1
2,начать,NUMB,VERB,10
под,хостинский,PREP,ADJF,9
белый,не,ADJF,PRCL,1
под,прочесть,PREP,VERB,9
леворадикальный,до,ADJF,PREP,8
самарский,советов,ADJF,UNKN,10
с,и,PREP,CONJ,1
.,дедушка,PNCT,NOUN,2
два,дворец,NUMR,NOUN,6
вороной,вдеть,ADJF,VERB,1
петух,.,NOUN,PNCT,1
многочисленный,.,ADJF,PNCT,1
наклонить,лететь,GRND,VERB,1
шуршать,залететь,VERB,PRTF,1
распластать,присесть,VERB,VERB,1
род,ну,NOUN,PRCL,1
мелькнуть,птица,VERB,NOUN,1
взмахнуть,и,VERB,CONJ,1
шелест,пролететь,NOUN,VERB,1
по,нашить,PREP,PRTF,11
белых,.,NOUN,PNCT,1
резиновый,развеваться,ADJF,PRTF,10
хлопанье,и,NOUN,CONJ,1
право,гоминдан,NOUN,NOUN,8
свистеть,носиться,GRND,VERB,1
взмахнуть,так,VERB,CONJ,1
широкий,и,ADJF,CONJ,1
как,ласточка,CONJ,NOUN,1
холодное,наталья,NOUN,NOUN,1
шелестеть,вести,VERB,GRND,1
длинный,.,ADJF,PNCT,1
чёрный,ужас,NOUN,NOUN,10
красный,.,ADJF,PNCT,1
чёрный,и,ADJF,CONJ,1
и,не,CONJ,PRCL,1
синий,дождев,ADJF,NOUN,1
на,подняться,PREP,VERB,1
под,добровольческий,PREP,ADJF,9
потрогать,потрясти,VERB,VERB,4
три,.,NUMR,PNCT,1
огромный,и,ADJF,CONJ,1
взмахнуть,и,VERB,CONJ,1
она,рвать,NPRO,VERB,1
под,и,PREP,CONJ,1
кургузый,.,ADJF,PNCT,1
в,пролётка,PREP,NOUN,10
он,.,NPRO,PNCT,1
оборвать,сесть,VERB,VERB,1
за,.,PREP,PNCT,1
кровавый,и,ADJF,CONJ,1
растрепать,както,PRTF,ADVB,1
холодное,а,NOUN,CONJ,1
бабочкин,раздирать,NOUN,VERB,1
оба,и,NUMR,CONJ,7
на,вихрь,PREP,NOUN,10
а,взять,CONJ,VERB,1
ежели,не,CONJ,PRCL,1
на,ветер,PREP,NOUN,10
точно,сложить,ADVB,VERB,1
хлопать,прыгать,VERB,VERB,1
на,свой,PREP,ADJF,1
длинный,навстречу,ADJF,ADVB,1
противоположный,стать,ADJF,VERB,6
он,верный,NPRO,COMP,9
один,занимать,ADJF,VERB,6
гранкин,.,NOUN,PNCT,1
левый,.,ADJF,PNCT,4
как,ангела…,CONJ,UNKN,1
сложить,.,VERB,PNCT,1
кожистый,.,ADJF,PNCT,1
птица,.,NOUN,PNCT,1
передний,и,ADJF,CONJ,4
ручка,животное,NOUN,NOUN,1
тёмный,.,ADJF,PNCT,10
опасть,.,PRTF,PNCT,1
на,.,PREP,PNCT,1
ни,ты,PRCL,NPRO,10
ангельский,для,ADJF,PREP,1
бритва,и,NOUN,CONJ,1
ласточкин,чёлка,ADJF,NOUN,10
зацепить,какойтый,VERB,ADJS,1
сидеть,архипов,VERB,NOUN,10
на,принести,PREP,VERB,1
перепончатый,покрыть,ADJF,PRTF,1
спрятать,под,PRTF,PREP,10
право,.,NOUN,PNCT,6
кончик,закон,NOUN,NOUN,1
распахнуть,белый,PRTF,ADJF,10
огненный,торум,ADJF,NOUN,1
к,редакционный,PREP,ADJF,4
взмахивать,и,VERB,CONJ,1
